"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I want to see contents on discover page So that i can read existing contents","As user i have be able to see discover page","SUCCESS","2022-03-22T21:40:37.895+07:00[Asia/Bangkok]","0.0","1.33"
"As an user I want to see many job on job page So that i can see existing many jobs","As an user i have be able to see existing many jobs","SUCCESS","2022-03-22T21:40:39.293+07:00[Asia/Bangkok]","0.0","0.12"
"As an user I want to see existing learn on learning page So that i can see many learning","As an user i have be able to see many existing learn","SUCCESS","2022-03-22T21:40:39.464+07:00[Asia/Bangkok]","0.0","0.09"
"As an user I want to see my home page So that i can update my profile","As user i have be able to success login","SUCCESS","2022-03-22T21:40:39.666+07:00[Asia/Bangkok]","0.0","0.11"
"As an user I want to see my home page So that i can update my profile","As a user I have failed in trying to login","SUCCESS","2022-03-22T21:40:39.803+07:00[Asia/Bangkok]","0.0","0.26"
"As an user I want to search people So that i can add new friend","As user i have be able to search people","SUCCESS","2022-03-22T21:40:40.107+07:00[Asia/Bangkok]","0.0","0.05"
"As a user I want to sign up using my email account and google So that i can login to the app","As user i have be able to success sign up with email","SUCCESS","2022-03-22T21:40:40.184+07:00[Asia/Bangkok]","0.0","0.07"
"As a user I want to sign up using my email account and google So that i can login to the app","As user i have be able to success sign up with google","SUCCESS","2022-03-22T21:40:40.28+07:00[Asia/Bangkok]","0.0","0.12"
"As a user I want to sign up using my email account and google So that i can login to the app","As user i have failed to trying to sign up with email","SUCCESS","2022-03-22T21:40:40.423+07:00[Asia/Bangkok]","0.0","0.27"
