"Story","Title","Result","Date","Stability","Duration (s)"
"As an user I want to see my home page So that i can update my profile","As user i have be able to success login","SUCCESS","2022-03-22T21:40:39.666+07:00[Asia/Bangkok]","0.0","0.11"
"As an user I want to see my home page So that i can update my profile","As a user I have failed in trying to login","SUCCESS","2022-03-22T21:40:39.803+07:00[Asia/Bangkok]","0.0","0.26"
