"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I want to login in the app So that i can see homepage","As a user i have be able to success login","ERROR","2022-05-14T12:52:29.187+07:00[Asia/Bangkok]","0.0","36.43"
"As a user I want to login in the app So that i can see homepage","As user i have failed to login","ERROR","2022-05-14T12:53:05.705+07:00[Asia/Bangkok]","0.0","36.59"
"As a user I want to login in the app So that i can see homepage","As user i have failed to login with empty data","SUCCESS","2022-05-14T12:53:42.327+07:00[Asia/Bangkok]","0.0","21.41"
