"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I want to check book in bookstore So that i visit to bookstore","GET - As admin I have be able to see existing book","SUCCESS","2022-04-23T09:32:31.069+07:00[Asia/Bangkok]","0.0","13.76"
"As a user I want to check book in bookstore So that i visit to bookstore","GET Book - As admin i failed to see existing book with input data","ERROR","2022-04-23T09:32:44.857+07:00[Asia/Bangkok]","0.0","1.75"
